TypeName,ScreenResolution,Cpu,Ram,Memory,Gpu,Price
3,26,85,8.0,14,80,71378.6832
3,13,64,8.0,13,45,47895.5232
1,15,58,8.0,21,54,30636.0
3,36,111,16.0,31,95,135195.336
3,26,99,8.0,21,84,96095.808
1,4,32,4.0,9,12,21312.0
3,36,106,16.0,24,89,114017.6016
3,13,64,8.0,24,45,61735.536
3,15,72,16.0,31,42,79653.6
3,18,59,8.0,21,59,41025.6
1,4,58,4.0,9,54,20986.992
1,15,35,4.0,9,47,18381.0672
3,36,109,16.0,21,94,130001.6016
1,15,35,4.0,21,19,26581.392
3,17,76,8.0,21,75,67260.672
3,26,85,8.0,21,80,80908.344
1,15,80,8.0,21,19,39693.6
3,36,114,16.0,31,99,152274.24
1,15,44,8.0,12,40,26586.72
3,16,59,8.0,14,59,52161.12
4,18,67,8.0,22,57,53226.72
1,4,11,4.0,9,0,13746.24
2,20,59,8.0,21,59,43636.32
3,15,72,8.0,21,54,35111.52
1,4,35,4.0,12,47,22305.1392
3,13,63,8.0,13,45,58554.72
1,15,59,8.0,21,37,42624.0
3,15,86,8.0,23,59,69157.44
1,15,59,8.0,12,48,47738.88
1,15,3,4.0,6,6,13053.0672
1,4,0,2.0,4,0,10602.72
1,15,26,4.0,9,37,23389.92
3,28,72,16.0,31,59,99580.32
3,13,63,8.0,24,45,53173.44
1,4,14,4.0,6,3,13266.72
1,4,42,4.0,12,54,19553.76
1,18,59,8.0,22,37,52161.12
1,4,58,4.0,12,54,26037.4032
1,15,59,8.0,21,41,46833.12
1,15,35,4.0,12,54,20725.92
4,18,94,16.0,30,82,79866.72
1,4,58,8.0,12,40,27864.9072
1,18,59,4.0,21,59,36336.96
2,20,59,12.0,12,62,53226.72
3,26,84,8.0,21,78,75604.32
4,15,91,8.0,30,79,69210.72
1,15,58,4.0,21,19,34045.92
1,4,29,4.0,12,22,24828.48
1,18,72,8.0,21,42,44808.48
1,15,26,4.0,21,5,21231.5472
1,15,72,8.0,31,59,58767.84
1,4,44,4.0,12,54,20459.52
1,15,72,8.0,21,20,40908.384
1,15,35,4.0,14,47,23389.92
1,4,58,4.0,21,54,31232.2032
4,15,94,16.0,27,97,130482.72
1,15,35,4.0,21,47,22111.2
1,15,72,16.0,27,37,69210.72
3,15,59,8.0,21,59,46833.12
1,18,42,8.0,21,54,31914.72
1,15,59,8.0,21,59,50136.48
